"site.id","constituent","Water_Year","Flux_Rate.rloadest","SE.rloadest","CI_lower.rloadest","CI_upper.rloadest","Flux_Rate.interpolation","SE.interpolation","CI_lower.interpolation","CI_upper.interpolation","Flux_Rate.composite","SE.composite","CI_lower.composite","CI_upper.composite"
"RONC02800","PT","2001",162.981284486403,127.37258391682,33.1829694395415,496.966560724409,24.0593290503008,2.2033234091037,20.0299879188838,28.6588817836365,124.411212368843,10.402749024401,105.268053731479,146.01470617279
"RONC02800","PT","2002",205.854641487197,69.7241031477981,102.202683942441,371.956948924426,34.3896630411712,1.90551836999623,30.8058809638873,38.2728557277989,157.13844445319,11.2976181243792,136.158205087974,180.418880347443
"RONC02800","PT","2003",169.080000830546,44.7581770942397,98.1438021632167,272.212190163252,28.8701833804573,1.90551836999623,25.3154013046226,32.7813186777244,129.06664686649,9.37198854238233,111.672064944771,148.38828196605
"RONC02800","PT","2004",160.342969857263,28.1725459630114,112.208420926254,222.264459678611,32.4864696182184,1.90291342227117,28.9162396139596,36.3727104421844,122.397263818518,8.44106445859472,106.686219469207,139.757280469298
"RONC02800","PT","2005",146.332928071022,17.9619145926302,114.288561403769,184.580889449222,32.4304212538031,1.90551836999623,28.8558008319097,36.3224615072031,111.702745797893,7.78610346048798,97.2190298995266,127.72368893476
"RONC02800","PT","2006",112.697705892306,11.947475182517,91.0964352773481,137.871664691856,25.2630483198928,1.90551836999623,21.7340782468622,29.1988987865835,86.0274126899445,5.98910032983532,74.8857494365945,98.35007965351
"RONC02800","PT","2007",108.578032580449,8.35150536324003,93.1291519503862,125.845146105492,34.5658203829466,1.90551836999623,30.9812655784625,38.448265991417,82.882673998586,5.82014442785167,72.0603675930689,94.8625438882305
"RONC02800","PT","2008",88.4857150755795,5.75432590530734,77.7428699409617,100.28892624331,32.1666300534806,1.90291342227117,28.5979921245792,36.0544066659123,67.5452713762054,4.58974415074722,58.9958604782002,76.978193329524
"RONC02800","PT","2009",73.8932763363311,4.25318227033725,65.9072780172947,82.5733761790136,33.8849339996504,1.90551836999623,30.3034105514854,37.7703095938471,56.4061826109582,3.83108225429082,49.2697756489064,64.2797252416805
"RONC02800","PT","2010",64.1852155823699,3.51249557791256,57.5756728555041,71.3398716563084,58.6153535271826,1.90551836999623,54.9689874725518,62.4376154619272,60.4798485619846,4.27774934216832,52.5286867040511,69.2879312511436
"RONC02800","PT","2011",46.4971942288207,2.44483994363723,41.8891570232141,51.4698423581071,52.521032602577,1.90551836999623,48.8849614530141,56.3533765140979,51.5948677857749,3.65799495200543,44.79654397153,59.1276947712668
"RONC02800","PT","2012",36.0475151372802,1.85930509371044,32.5404225185405,39.8266342153892,17.0479639791713,1.90291342227117,13.6227755707618,21.0718113725203,16.5124306782202,1.23310399348802,14.2274253223138,19.0581393262313
"RONC02800","PT","2013",27.1971054418866,1.42787534190638,24.505681603575,30.1011550156044,32.8815143745772,1.90551836999623,29.304687611704,36.7714256110782,28.5057774207494,2.45472089704022,23.9974072966761,33.6118829771565
"RONC02800","PT","2014",17.5064748573943,0.924831598861473,15.7636799316661,19.3878415530217,21.5868827658701,1.90551836999623,18.0930980759941,25.5561860763712,18.1607931552605,1.31776878783052,15.7148910183668,20.8774587204379
"RONC02800","PT","2015",15.5787024203175,1.61743013327915,12.6492699174772,18.9819482930205,36.4096028628304,3.79547083393266,29.5376716954018,44.3978271016254,24.2613665213045,3.72574698333463,17.7786265751928,32.3451605368159
